ind_id	pop_id	time	sampled	lat	lon	node1	node2	pop
16294	1	30580	True	39.8394059256203	57.9319144617454	12190	12191	OOA
37342	4	9575	True	49.9452842652413	4.24791383933456	24694	24695	EUR
43338	5	3191	True	50.6289751910567	22.6452844203923	28468	28469	YAM
6661	1	42643	True	33.8862613864261	50.8759223704481	4958	4959	OOA
3926	1	46088	True	30.0265686053781	45.0323200313194	2888	2889	OOA
6764	1	42507	True	34.4856784273686	52.6905014110604	5040	5041	OOA
32874	2	14045	True	62.586286814406	47.6764628777001	22078	22079	EHG
45322	4	611	True	51.1758349792374	13.4012456424493	29950	29951	EUR
18704	3	27924	True	38.4849565716996	34.9250327339455	13794	13795	ANA
7252	1	41876	True	34.6967191167787	56.0562448840192	5404	5405	OOA
29096	4	17672	True	45.1333628873184	1.0089488292613	19910	19911	EUR
38948	3	8063	True	40.3011122345698	36.2695911754818	25630	25631	ANA
18805	2	27821	True	63.0110462438567	41.8578109358838	13862	13863	EHG
21601	3	25006	True	38.3679650094186	31.9385625292549	15526	15527	ANA
7297	1	41827	True	35.1199449065225	56.5390978462238	5438	5439	OOA
40253	4	6730	True	46.7973337519431	13.4009114673047	26452	26453	EUR
34876	3	12025	True	37.2528847157443	29.5087030019883	23242	23243	ANA
23835	4	22800	True	48.8470787526294	14.8240430570866	16808	16809	EUR
26870	3	19913	True	37.1149812303944	37.2325436922758	18596	18597	ANA
4764	1	45038	True	32.645447053413	46.7909909248563	3526	3527	OOA
9634	1	38847	True	37.433502465412	58.492998443954	7190	7191	OOA
10060	1	38345	True	38.6649263044417	63.0888720436698	7476	7477	OOA
4962	1	44813	True	27.5241818104063	45.835413464816	3660	3661	OOA
39186	4	7799	True	46.1009788771598	27.9232430935038	25812	25813	EUR
23788	2	22864	True	58.2546261096024	42.3287993061771	16768	16769	EHG
9176	1	39457	True	41.9418501487139	57.6252877258679	6840	6841	OOA
38132	2	8794	True	56.6609579467905	44.9475022229827	25156	25157	EHG
1372	1	49333	True	29.7401815772382	36.6233330196781	988	989	OOA
7529	1	41515	True	34.5274385811984	59.1031261172185	5620	5621	OOA
38329	2	8619	True	62.7062002283872	44.6636318296149	25284	25285	EHG
14578	1	32770	True	39.1197966388623	60.3797670168058	10900	10901	OOA
32301	2	14556	True	61.1514534307316	45.5527113895525	21748	21749	EHG
23936	3	22724	True	40.7079441648428	36.1550604390669	16858	16859	ANA
28947	3	17841	True	38.9118834157597	31.4644281566494	19808	19809	ANA
44769	4	1596	True	47.1188835890666	19.7453262105127	29416	29417	EUR
37274	4	9632	True	48.0682706048118	26.2695141639542	24640	24641	EUR
378	1	50524	True	27.881951718986	33.5384233313432	244	245	OOA
10267	1	38098	True	42.3309124815446	61.1560271477347	7644	7645	OOA
12977	1	34679	True	40.3147360930737	56.7998514919499	9664	9665	OOA
27524	2	19272	True	61.8814779188934	41.3131167269872	18992	18993	EHG
40091	4	6873	True	49.9293513165879	14.9058820675461	26358	26359	EUR
43310	4	3234	True	47.138085414877	23.4632547784213	28438	28439	EUR
37982	4	8939	True	45.5517361066576	17.0705036975265	25066	25067	EUR
34722	4	12146	True	48.1513776128335	13.6771220134392	23172	23173	EUR
22311	3	24353	True	40.010981666753	38.6931275663152	15898	15899	ANA
43485	4	3054	True	50.7425932333754	9.89904771449303	28550	28551	EUR
10860	1	37353	True	39.2789778099365	62.2193166639841	8078	8079	OOA
5641	1	43958	True	33.6551578505278	48.7403815030269	4196	4197	OOA
32573	3	14321	True	36.5480539237992	33.3436865448943	21892	21893	ANA
24390	3	22342	True	36.7783550505445	34.0704402760878	17128	17129	ANA
28394	3	18414	True	37.5861547785529	30.5996126533096	19500	19501	ANA
27269	2	19506	True	59.7755479388969	39.4439682399773	18836	18837	EHG
43999	4	2423	True	49.9201054633254	19.1899052531614	28886	28887	EUR
41438	4	5445	True	46.1312004639714	10.2541487007806	27182	27183	EUR
13823	1	33656	True	38.0460397126908	59.5644389679767	10332	10333	OOA
3548	1	46600	True	29.9285756347006	42.5432075995735	2616	2617	OOA
6829	1	42416	True	33.3410833617565	55.2632959065842	5082	5083	OOA
9629	1	38862	True	43.1655627003915	59.8524896040468	7180	7181	OOA
19002	1	27596	True	38.4835628822761	59.6166039657631	13988	13989	OOA
43486	5	3031	True	52.1512471786766	22.5940513470123	28566	28567	YAM
34856	4	12011	True	46.2727520058738	21.427096778976	23264	23265	EUR
28921	3	17852	True	38.5752225149811	33.2256354166264	19800	19801	ANA
37316	4	9596	True	54.0460623413461	18.8417107491384	24676	24677	EUR
43947	4	2469	True	51.0834836079243	8.70742071062026	28862	28863	EUR
36422	4	10436	True	48.7679849118468	24.4482922686221	24160	24161	EUR
1599	1	49031	True	30.0761299698056	37.2610252527524	1162	1163	OOA
24872	3	21889	True	37.8703798783903	38.8664038111256	17420	17421	ANA
16718	1	30049	True	38.6742156641894	59.4746398784184	12502	12503	OOA
14244	1	33176	True	40.1872718236463	64.1081806509134	10644	10645	OOA
27022	2	19750	True	57.0455859228163	56.51985122183	18678	18679	EHG
33105	4	13812	True	44.0778704545606	20.3031970453193	22238	22239	EUR
31920	3	14958	True	36.7425886580938	37.1995615454584	21530	21531	ANA
22992	2	23687	True	55.1332287944694	48.5231955429802	16304	16305	EHG
99	1	50917	True	29.9179888920073	31.1959392932771	24	25	OOA
25719	3	21080	True	37.1900338443643	30.3228220922315	17906	17907	ANA
37389	3	9562	True	38.2530197776266	39.2697565738618	24702	24703	ANA
1154	1	49582	True	30.5004450250965	35.660113191165	818	819	OOA
23693	2	22964	True	57.3762211875273	42.5445945961539	16718	16719	EHG
7917	1	41008	True	34.4959593808753	58.2755980483082	5898	5899	OOA
25463	3	21325	True	38.2579529681857	30.5542313321209	17742	17743	ANA
6554	1	42772	True	33.4242781601369	51.6022111753849	4870	4871	OOA
37534	2	9398	True	60.5276996091963	43.2761429994472	24792	24793	EHG
44903	4	1414	True	51.062837530939	9.38368399401286	29512	29513	EUR
14665	1	32643	True	40.9919525715375	58.0866773671739	10968	10969	OOA
44430	4	1989	True	48.8533810731195	11.9845538473112	29188	29189	EUR
10227	1	38148	True	37.4552223491603	62.2543234165405	7600	7601	OOA
13153	1	34488	True	39.3041470283382	63.7241946009009	9794	9795	OOA
17518	1	29014	True	39.7763129951507	59.7213839938155	13118	13119	OOA
26897	3	19879	True	37.6998311408358	28.5901272709568	18606	18607	ANA
40011	2	6962	True	57.7424552593034	33.9218410684721	26300	26301	EHG
41652	4	5172	True	47.8132518408036	20.0682209222629	27334	27335	EUR
12348	1	35431	True	37.6214975011587	58.4982713634675	9180	9181	OOA
3925	1	46089	True	31.6386928903961	40.4286882708663	2886	2887	OOA
35008	3	11868	True	37.4458399103829	39.2186917691057	23334	23335	ANA
12862	1	34821	True	41.4756693058532	58.1707346556584	9564	9565	OOA
5824	1	43722	True	33.8827207354768	52.9265888665076	4326	4327	OOA
24076	3	22597	True	40.3833731702446	40.445341937224	16952	16953	ANA
2140	1	48323	True	30.8808311140715	39.4419781389041	1562	1563	OOA
1809	1	48738	True	28.8369765111202	38.8277368717988	1334	1335	OOA
5130	1	44596	True	31.2185889071895	46.1428426061794	3804	3805	OOA
38327	2	8624	True	55.3780483524484	42.4830197463033	25282	25283	EHG
45095	4	1125	True	53.193978307189	23.004488743396	29666	29667	EUR
25033	3	21735	True	41.1316814647186	36.3566425066336	17514	17515	ANA
21186	3	25397	True	38.6441631792047	36.7310916998643	15300	15301	ANA
14823	1	32427	True	40.2592230419267	63.4126073636319	11084	11085	OOA
32785	4	14132	True	48.8335189646394	16.6581644301979	22024	22025	EUR
22378	4	24271	True	41.8550743651005	-5.24643887067696	15954	15955	EUR
23056	3	23629	True	39.7279347350921	27.132858952208	16340	16341	ANA
33126	3	13794	True	35.8791384378	37.6027249106183	22244	22245	ANA
9633	1	38853	True	39.003297714526	57.6881539618296	7188	7189	OOA
3305	1	46913	True	28.7671157438234	40.6962281082812	2440	2441	OOA
15307	1	31796	True	41.1988029284307	60.9699125046054	11430	11431	OOA
6031	1	43460	True	34.3947992388931	52.6792499766281	4476	4477	OOA
38469	4	8458	True	48.7073722142526	7.52131259542415	25376	25377	EUR
20986	2	25577	True	57.8708683367617	33.4975640345984	15170	15171	EHG
6866	1	42364	True	32.9030232253264	50.8864705135707	5118	5119	OOA
15575	1	31482	True	40.3310861132579	61.6371431242439	11616	11617	OOA
32150	2	14708	True	61.0335506708951	45.1349466929562	21662	21663	EHG
44245	4	2179	True	54.0755526122517	13.1405193837438	29054	29055	EUR
34661	4	12210	True	51.4273811910667	6.84441841035701	23140	23141	EUR
31923	4	14937	True	47.3080516418522	6.87583304689393	21548	21549	EUR
29665	4	17102	True	46.5560889979261	5.65374699704198	20248	20249	EUR
35522	2	11344	True	61.0678210058322	39.6891133172465	23640	23641	EHG
30746	3	16095	True	38.7194912921223	32.6865404589509	20880	20881	ANA
13763	1	33749	True	39.8482845437205	57.73570637389	10286	10287	OOA
20037	1	26546	True	39.8877609279621	61.5184659053196	14610	14611	OOA
30804	4	16016	True	44.0902155946889	25.1379493749599	20906	20907	EUR
37273	2	9650	True	55.0798872575408	44.1994039424314	24626	24627	EHG
26849	2	19924	True	54.8477333479851	53.5748493247333	18594	18595	EHG
28400	4	18395	True	47.9362765519434	14.9281310200018	19516	19517	EUR
25195	2	21585	True	60.9431584979341	42.2713433000697	17614	17615	EHG
14518	1	32864	True	38.7369216384454	62.0417587305322	10848	10849	OOA
41564	5	5281	True	51.0530610285206	40.2036744115311	27286	27287	YAM
21366	2	25199	True	60.0851597673063	44.6174644434196	15428	15429	EHG
