ind_id	pop_id	time	sampled	lat	lon	node1	node2	pop
76	45312	4	641	True	50.6615158657586	10.4673877564168	29932	29933	EUR
77	45237	4	829	True	42.4575590741681	24.3182163802113	29812	29813	EUR
78	45328	4	582	True	45.8176169361654	6.60344585687749	29962	29963	EUR
79	45335	4	551	True	44.9907190446718	25.6830680121033	29974	29975	EUR
80	45314	4	640	True	45.775965599934	27.4554232153629	29936	29937	EUR
81	45192	4	929	True	51.453142414055	23.7614043063986	29768	29769	EUR
82	45322	4	611	True	51.1758349792374	13.4012456424493	29950	29951	EUR
83	45302	4	660	True	54.1636071831803	20.1615231805193	29914	29915	EUR
84	45269	4	763	True	45.9828517044858	16.4084884341882	29862	29863	EUR
85	45330	4	566	True	45.0923321226982	4.49075318489504	29966	29967	EUR
86	45324	4	608	True	54.1959609214008	24.0658619353233	29954	29955	EUR
