ind_id	pop	time	sampled	lat	lon	node1	node2
5237	OOA	44489	True	50.2437602571019	32.1811811559715	3862	3863
27739	ANA	19248	True	31.6607467439573	38.2150797453676	19008	19009
42308	YAM	4476	True	25.3909044795223	50.8057844855828	27706	27707
13622	OOA	34006	True	57.3118045577271	42.1234241583289	10112	10113
3132	OOA	47177	True	38.4480618846048	28.609457362819	2270	2271
32195	EHG	14831	True	36.1387290408896	55.5256479964481	21604	21605
5216	OOA	44516	True	49.7072171005104	30.995524195195	3844	3845
3711	OOA	46384	True	40.1656251504741	30.8514434908444	2726	2727
27111	EUR	19840	True	44.7592775240166	57.0696633309793	18622	18623
25706	EHG	21252	True	32.0569186943438	59.2471394853138	17806	17807
41438	ANA	5567	True	30.3103208662331	39.218307447617	27108	27109
41255	YAM	5783	True	32.7100085175498	38.674820810326	27002	27003
16550	OOA	30376	True	58.5093698927776	41.929790045762	12318	12319
7405	OOA	41750	True	56.0322638122453	35.6413536435301	5486	5487
34452	EUR	12556	True	28.6434392071506	38.5894569658294	22926	22927
13735	OOA	33871	True	59.5278252669057	38.4643104150635	10220	10221
23440	EUR	23410	True	30.1702811843534	58.5222471338834	16476	16477
40244	EUR	6915	True	37.1463845507586	57.9699566740674	26332	26333
21523	ANA	25226	True	59.8753022123124	40.521159883505	15400	15401
13275	OOA	34375	True	60.1409967230001	42.2473941880525	9876	9877
4363	OOA	45568	True	44.182180070012	28.3804577590588	3186	3187
34690	EUR	12304	True	21.3620513821528	41.3876700461472	23080	23081
45422	EUR	644	True	18.0570310510122	50.6779519266189	29928	29929
32334	ANA	14678	True	16.8446282250746	52.283421125349	21686	21687
24538	ANA	22377	True	10.0415027887803	50.0898482021169	17110	17111
30818	EHG	16207	True	23.8887100180359	47.4006052665605	20816	20817
17765	OOA	28872	True	59.050950857061	38.766269801405	13216	13217
18875	ANA	27869	True	58.1702473841864	41.7583922947298	13828	13829
44743	EUR	1798	True	20.8907623356569	45.6570197191665	29304	29305
43654	YAM	3000	True	19.3249948283172	49.8482976185167	28584	28585
12651	OOA	35073	True	61.1205321862285	39.3409781667156	9408	9409
13905	OOA	33658	True	59.369830224188	40.9107178070499	10328	10329
25092	ANA	21831	True	35.0970033363903	37.6709997862827	17438	17439
5390	OOA	44308	True	47.8349777691291	28.3525053237638	3960	3961
6391	OOA	43026	True	52.9733625031926	33.7080191789109	4738	4739
1844	OOA	48716	True	36.4125809017666	31.368355825057	1342	1343
22998	EHG	23871	True	35.9170883391154	58.1488911682668	16204	16205
34292	ANA	12701	True	28.0538096535597	38.4897927463415	22850	22851
45356	EUR	813	True	6.6581572764609	43.9098486469457	29824	29825
42114	EUR	4724	True	24.4803311048407	48.6718731132177	27572	27573
17823	OOA	28803	True	62.127437030967	41.4458108093314	13266	13267
17592	OOA	29074	True	56.7116023392319	39.2130882767337	13092	13093
17430	OOA	29247	True	59.333128114858	41.0999070203276	12978	12979
35496	ANA	11511	True	50.1145550761761	56.4668441025313	23546	23547
4160	OOA	45847	True	43.8993115631218	30.5573290884953	3048	3049
28752	EHG	18248	True	51.9694978370122	60.5804761498462	19598	19599
45268	EUR	1000	True	2.40486894275938	48.069668329689	29736	29737
31420	ANA	15624	True	29.9982850625149	40.8269832406359	21138	21139
25485	EUR	21465	True	38.0105442138602	40.1916861715341	17674	17675
44760	EUR	1789	True	27.3801873885939	47.800812693993	29314	29315
15309	OOA	31885	True	55.1100694025999	40.9860980067685	11380	11381
3475	OOA	46706	True	42.2526051942213	33.2530609745619	2552	2553
12417	OOA	35363	True	62.3947989543371	42.82779322887	9234	9235
17687	OOA	28972	True	59.6573432210293	38.1194664061596	13146	13147
45189	EUR	1150	True	26.6507325099244	43.4340286541643	29646	29647
21889	EUR	24918	True	37.5192781077343	38.0545982668341	15566	15567
41166	YAM	5886	True	34.4430803592466	51.8291763417946	26942	26943
19486	ANA	27240	True	59.8155709588669	41.2270168937814	14202	14203
26920	EUR	20048	True	48.7068039229178	60.8759579569978	18526	18527
15550	OOA	31575	True	57.5920612829667	40.0763378864567	11566	11567
5532	OOA	44149	True	51.9520905503001	32.0652887834136	4076	4077
44327	EUR	2261	True	21.0444906934616	43.4516609053944	28982	28983
26507	EUR	20468	True	45.8572326626126	56.192515643834	18276	18277
14784	OOA	32599	True	57.1235680677139	37.8879686456636	10992	10993
9399	OOA	39189	True	64.1469564239863	40.4925435185379	6996	6997
599	OOA	50252	True	29.8235425910189	30.1687124686102	396	397
22334	EHG	24448	True	28.55066551773	48.2215393680788	15830	15831
14064	OOA	33503	True	64.0154494591965	39.719673413369	10442	10443
31529	EHG	15504	True	31.5322769598327	37.4388801675318	21202	21203
40625	YAM	6529	True	29.7161282209356	57.473210116276	26568	26569
21618	OOA	25139	True	59.2586826840837	40.0064631873806	15460	15461
18149	OOA	28408	True	57.4141141195918	41.5175159121508	13492	13493
19338	OOA	27402	True	58.6242593079575	58.0529912300719	14096	14097
33788	EHG	13204	True	36.2693301220023	57.4101674239878	22568	22569
26383	EUR	20592	True	50.5569946410967	61.4469486609896	18200	18201
28832	EHG	18158	True	14.3229650786309	51.0203807253229	19650	19651
27849	ANA	19149	True	40.3009935750203	39.5955357049745	19072	19073
44483	EUR	2111	True	17.0274436373626	46.13029227958	29110	29111
1325	OOA	49398	True	37.0305488256298	32.2755390652151	928	929
22845	EHG	23981	True	10.5911868529263	50.8798044850604	16120	16121
11760	OOA	36239	True	56.4283123074201	39.2220673718178	8762	8763
31362	EUR	15675	True	51.0753747630188	56.2869529446638	21108	21109
7386	OOA	41771	True	57.0578100639804	33.6816901555534	5474	5475
28780	EUR	18218	True	6.34077903618231	45.9736373080727	19610	19611
4712	OOA	45168	True	44.5793672266822	29.6808388066835	3454	3455
13649	OOA	33964	True	59.6860898313392	40.5168382287807	10142	10143
40064	ANA	7098	True	21.0868602528787	43.4930355715647	26218	26219
13509	OOA	34121	True	56.0236699628051	41.4368800273259	10030	10031
8151	OOA	40767	True	58.8158977771579	40.8207207039501	6076	6077
40581	EUR	6541	True	24.4824918580535	46.4729387199247	26556	26557
18002	OOA	28590	True	57.1590328892127	41.4506061137389	13398	13399
8529	OOA	40304	True	54.6410504112443	39.9682843387785	6336	6337
10152	OOA	38216	True	56.0769324615767	40.7569547919723	7554	7555
39054	EUR	8114	True	42.6530769832432	57.2955171399596	25592	25593
5072	OOA	44722	True	45.7475457204122	32.4923838408764	3730	3731
32885	EHG	14140	True	44.7567395626318	60.4224866718725	22016	22017
38457	EHG	8666	True	16.7580853988349	46.4015396083962	25254	25255
33510	EHG	13469	True	52.3703806923241	59.7987871063786	22422	22423
43630	YAM	3030	True	23.8519628047214	51.5199878839635	28568	28569
22749	ANA	24082	True	28.3108688305325	39.6780119630599	16054	16055
23382	EHG	23485	True	32.7309021878173	37.7370264219668	16436	16437
24565	ANA	22349	True	40.9893793059691	60.3737830504312	17122	17123
38699	EUR	8435	True	38.0842279406296	59.7343018489767	25398	25399
14698	OOA	32719	True	59.346399007414	38.251892210033	10920	10921
34997	EHG	12010	True	-0.0935459441864021	47.0432456419191	23266	23267
6329	OOA	43126	True	49.8925328751852	32.5375197540443	4688	4689
36391	EHG	10625	True	54.0370461109228	54.2478472907591	24054	24055
44816	EUR	1708	True	4.00431106401085	43.7140206117043	29376	29377
40446	ANA	6695	True	57.4660457226641	56.1351138023643	26468	26469
1634	OOA	49012	True	33.6811087946998	29.4834397066907	1172	1173
32373	EHG	14643	True	43.6307978449807	54.8528016719014	21712	21713
23241	EUR	23617	True	35.9461625674186	56.2471736300161	16352	16353
