indivi	master	datmet	datmea	datstd	locate	countr	latitu	longit	warnin	timind	sntind
I12456	I12456	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12457	I12457	Direct	2928	35	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12458	I12458	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	Xcontam=[0.245,0.265],__sex.ratio=0.328	TRUE	FALSE
I12459	I12459	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12979	I12979	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12980	I12980	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	mtcontam=[0.747,0.914]	TRUE	FALSE
I12981	I12981	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12982	I12982	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12984	I12984	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12987	I12987	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12988	I12988	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I13220	I13220	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I13221	I13221	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I13222	I13222	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I13223	I13223	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	Xcontam=[0.009,0.029]	TRUE	TRUE
I13224	I13224	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I13226	I13226	Direct	2911	31	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I13227	I13227	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I13228	I13228	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
